"","map_id","subject_id","real_score","best_score","err_ratio","order_1_to_30","block_1_to_5"
"320",20,11,7759.11124876343,6890,0.126140964987436,5,1
"321",21,11,8111.70797504301,7291,0.112564528191334,6,1
"322",22,11,7450.58135504574,6778,0.0992300612342486,14,1
"323",23,11,10753.8352831307,7520,0.430031287650353,11,1
"324",24,11,7924.94768169649,6780,0.168871339483258,4,1
"325",25,11,8789.36534176453,7378,0.191293757354911,7,1
"326",26,11,7444.60865532329,6960,0.0696276803625416,20,1
"327",27,11,7999.92800306071,7159,0.117464450769759,26,1
"328",28,11,8168.0562314275,7292,0.120139362510627,3,1
"329",29,11,8798.55777818362,7397,0.189476514557743,18,1
"330",30,11,8155.48323395227,7311,0.115508580762176,24,1
"331",1,12,8531.66088976883,7646,0.115833231724932,11,1
"332",2,12,7431.19787694005,6476,0.147498128001861,5,1
"333",3,12,8081.56069352395,7172,0.126821067139424,26,1
"334",4,12,7530.68266577493,7028,0.0715257065701384,13,1
"335",5,12,9031.83285809148,6999,0.290446186325401,29,1
"336",6,12,7543.39478032468,6866,0.0986593038631919,4,1
"337",7,12,7778.11474412383,7239,0.0744736488636322,24,1
"338",8,12,7700.07183277702,7095,0.085281442251871,23,1
"339",9,12,8563.85562461292,7026,0.218880675293612,22,1
"340",10,12,8300.2794674458,7208,0.151537107026332,25,1
"341",11,12,8630.90360876914,6836,0.262566355876118,28,1
"342",12,12,8131.33235932669,7115,0.142843620425396,30,1
"343",13,12,8555.90541849265,7002,0.221923081761304,1,1
"344",14,12,8848.41215409643,7658,0.155446873086501,3,1
"345",15,12,9128.81829411206,7254,0.258453031997803,8,1
"346",16,12,7636.37271755969,7047,0.083634556202596,10,1
"347",17,12,7745.02547525429,6706,0.154939677192707,18,1
"348",18,12,8329.18886586189,7314,0.138800774659816,7,1
"349",19,12,7241.64207214473,6795,0.0657309892781057,9,1
"350",20,12,7509.74842139713,6890,0.089948972626579,17,1
"351",21,12,9079.86205056577,7291,0.245352084839634,20,1
"352",22,12,8070.97650727519,6778,0.190760771212038,12,1
"353",23,12,8485.52814201664,7520,0.128394699736256,6,1
"354",24,12,7931.54777387668,6780,0.16984480440659,19,1
"355",25,12,8262.21681023599,7378,0.11984505424722,27,1
"356",26,12,7406.60434295087,6960,0.0641672906538609,15,1
"357",27,12,8243.159081302,7159,0.151440016943986,16,1
"358",28,12,8583.17000781644,7292,0.177066649453708,21,1
"359",29,12,8566.27417718815,7397,0.1580741080422,2,1
"360",30,12,7808.89612016139,7311,0.0681023280209801,14,1
"361",1,13,12318.3608245645,7646,0.611085642762814,24,1
"362",2,13,8405.29988063894,6476,0.29791536143282,19,1
"363",3,13,11413.281137033,7172,0.591366583523848,16,1
"364",4,13,8833.83417745706,7028,0.256948516997305,17,1
"365",5,13,8108.92462456721,6999,0.158583315411803,11,1
"366",6,13,8074.91382875286,6866,0.176072506372395,12,1
"367",7,13,10355.7784687548,7239,0.430553732387733,20,1
"368",8,13,8576.84050967794,7095,0.208857013344318,6,1
"369",9,13,9761.88203510347,7026,0.389393970268071,4,1
"370",10,13,8833.95654041897,7208,0.225576656550912,14,1
"371",11,13,7679.6790942151,6836,0.123417070540535,8,1
"372",12,13,9131.81525064581,7115,0.283459627638202,9,1
"373",13,13,8357.61123891444,7002,0.193603433149735,27,1
"374",14,13,9222.76903382848,7658,0.204331291959843,28,1
"375",15,13,8626.9305203476,7254,0.189265304707416,13,1
"376",16,13,8155.14581363584,7047,0.157250718551986,2,1
"377",17,13,7430.31762834052,6706,0.108010382991428,3,1
"378",18,13,9255.01229722589,7314,0.265383141540319,1,1
"379",19,13,7596.69198678037,6795,0.117982632344426,5,1
"380",20,13,8240.63475188608,6890,0.196028265876064,21,1
"381",21,13,9191.09646451547,7291,0.260608485052184,30,1
"382",22,13,10147.6385089997,6778,0.497143480230113,15,1
"383",23,13,9737.83964840739,7520,0.294925485160557,10,1
"384",24,13,8231.10038724235,6780,0.214026605787957,7,1
"385",25,13,11070.0281553885,7378,0.500410430386082,26,1
"386",26,13,9015.27985019259,6960,0.295298829050659,23,1
"387",27,13,9496.39099771486,7159,0.326496856783749,22,1
"388",28,13,10543.1418558615,7292,0.445850501352372,25,1
"389",29,13,10189.0086126253,7397,0.377451482036675,29,1
"390",30,13,10947.4376117808,7311,0.497392642836934,18,1
"391",1,14,9771.23813933714,7646,0.277954242654609,22,1
"392",2,14,7889.31558202483,6476,0.218238971900066,23,1
"393",3,14,11182.120122069,7172,0.559135544069849,17,1
"394",4,14,10208.9364246712,7028,0.452609053026634,30,1
"395",5,14,8618.11323635807,6999,0.23133493875669,18,1
"396",6,14,8324.99988295325,6866,0.212496341822496,8,1
"397",7,14,7840.97984596753,7239,0.0831578734587001,12,1
"398",8,14,7956.0252765228,7095,0.121356628121607,24,1
"399",9,14,8650.76706163816,7026,0.23125064925109,11,1
"400",10,14,8783.20968946321,7208,0.218536305419424,2,1
"401",11,14,8314.68682714966,6836,0.21630878103418,9,1
"402",12,14,8872.18616792041,7115,0.246969243558737,29,1
"403",13,14,8614.53820074808,7002,0.230296801020863,26,1
"404",14,14,9531.96361701787,7658,0.244706661924507,13,1
"405",15,14,11001.8943333248,7254,0.516665885487296,1,1
"406",16,14,9390.27942842225,7047,0.332521559304988,14,1
"407",17,14,8869.43974918792,6706,0.322612548342965,5,1
"408",18,14,10532.7204820377,7314,0.440076631397,6,1
"409",19,14,9081.34084105336,6795,0.33647400162669,27,1
"410",20,14,10117.7943897034,6890,0.468475237983071,15,1
"411",21,14,10596.761199251,7291,0.453402989884927,19,1
"412",22,14,8468.26742833194,6778,0.24937554268692,4,1
"413",23,14,8472.07964919153,7520,0.12660633632866,21,1
"414",24,14,8137.05149718484,6780,0.20015508808036,3,1
"415",25,14,12167.2974264999,7378,0.649132207441028,20,1
"416",26,14,8688.63632799485,6960,0.248367288505008,25,1
"417",27,14,10151.3006392078,7159,0.417977460428525,7,1
"418",28,14,9669.31635856013,7292,0.32601705410863,10,1
"419",29,14,9158.23092747591,7397,0.238100706702164,16,1
"420",30,14,8418.67291978356,7311,0.151507717108953,28,1
"421",1,15,8661.88248659096,7646,0.132864567955919,3,1
"422",2,15,7708.12097837478,6476,0.190259570471709,26,1
"423",3,15,9002.86891765164,7172,0.255280105640217,10,1
"424",4,15,8218.59098369198,7028,0.16940679904553,2,1
"425",5,15,7444.73813975851,6999,0.0636859751048022,9,1
"426",6,15,7415.05563500197,6866,0.0799673223131321,27,1
"427",7,15,8241.29436026625,7239,0.138457571524555,7,1
"428",8,15,8986.4159105558,7095,0.266584342573052,21,1
"429",9,15,7873.33791960391,7026,0.120600330145731,25,1
"430",10,15,9676.69387005655,7208,0.342493600174327,17,1
"431",11,15,8177.50389762224,6836,0.196241061676747,8,1
"432",12,15,8142.06301744729,7115,0.144351794440941,12,1
"433",13,15,8020.78968535324,7002,0.145499812246964,23,1
"434",14,15,8651.63232842568,7658,0.129750891672197,15,1
"435",15,15,8328.85045678846,7254,0.148173484531081,22,1
"436",16,15,8821.46818908198,7047,0.251804766437063,30,1
"437",17,15,7691.46059130424,6706,0.146952071473939,6,1
"438",18,15,8483.05685224314,7314,0.15983823519868,4,1
"439",19,15,7398.91518092762,6795,0.08887640631753,24,1
"440",20,15,8198.2659792742,6890,0.189878951999159,18,1
"441",21,15,10026.4821986347,7291,0.375186147117643,5,1
"442",22,15,7469.66701189085,6778,0.102045885495847,19,1
"443",23,15,8699.22176620663,7520,0.156811405080668,11,1
"444",24,15,7567.86515511,6780,0.116204300163717,20,1
"445",25,15,8330.88627751898,7378,0.129152382423283,29,1
"446",26,15,7869.11894994931,6960,0.13062053878582,14,1
"447",27,15,9532.34066533432,7159,0.331518461423986,13,1
"448",28,15,8773.27416999771,7292,0.203136885627771,1,1
"449",29,15,8975.88718436454,7397,0.213449666670886,28,1
"450",30,15,8348.88217013854,7311,0.141961724817198,16,1
"451",1,16,8765.20518461401,7646,0.146377868769816,26,1
"452",2,16,7848.65526486163,6476,0.211960355908219,5,1
"453",3,16,9384.7929838165,7172,0.308532206332474,7,1
"454",4,16,9725.118592966,7028,0.383767585794821,13,1
"455",5,16,9408.90461658617,6999,0.344321276837573,9,1
"456",6,16,7841.17918780095,6866,0.14203017591042,1,1
"457",7,16,8423.7108143109,7239,0.163656694890303,8,1
"458",8,16,7804.87212935072,7095,0.100052449520891,3,1
"459",9,16,8710.77071763412,7026,0.239790879253362,14,1
